Date,Open,High,Low,Close,Volume,Ticker,SMA_20,SMA_50,SMA_200,EMA_12,EMA_26,MACD,MACD_Signal,MACD_Hist,ADX,DI_Plus,DI_Minus,Ichimoku_A,Ichimoku_B,RSI_14,Stoch_K,Stoch_D,Williams_R,ROC_10,TSI,BB_Upper,BB_Middle,BB_Lower,BB_Width,BB_Pct,ATR_14,KC_Upper,KC_Lower,OBV,CMF,MFI_14,EOM,Return_1d,Return_5d,Return_10d,Return_20d,Log_Return,Price_SMA20_Ratio,Price_SMA50_Ratio,High_Low_Range,Close_Open_Range,Vol_20d,Vol_60d,Skew_20d
2018-01-01,299.0876164324822,299.0876164324822,294.4203314164528,295.5633239746094,7739502,ICICIBANK.NS,,,,,,,,,0.0,0.0,0.0,,296.7539739244675,,,,,,,,,,,,0.0,301.0243756238775,291.68980559181875,7739502,,,,,,,,,,,0.015791150787133282,-0.011783478366341612,,,
2018-01-02,296.1823953387731,296.89677638969323,292.8962308772449,294.99176025390625,7046560,ICICIBANK.NS,,,,,,,,,0.0,0.0,0.0,,295.9919236548635,,,,,,,,,,,,0.0,299.97658848830366,291.3087579598259,692942,,,-105.45421364694324,-0.00193381138436588,,,,-0.0019356836116800643,,,0.013561550020939542,-0.0040199387391172325,,,
2018-01-03,297.6588294619606,301.3259920545809,297.6588294619606,300.04010009765625,8898342,ICICIBANK.NS,,,,,,,,,0.0,0.0,0.0,,297.1111114659129,,,,,,,,,,,,0.0,301.09843781354226,292.8751090661436,9591284,,,189.40538234235214,0.01711349442236898,,,,0.016968708108710324,,,0.012222241598462222,0.007999999999999953,,,
2018-01-04,299.9924605392053,300.659198818972,296.7062957169691,299.7543334960937,6385367,ICICIBANK.NS,,,,,,,,,0.0,0.0,0.0,,297.1111114659129,,,,,,,,,,,,0.0,301.57203980499366,293.4280916934432,3205917,,,-50.122746623429414,-0.0009524280303517818,,,,-0.0009528818781227242,,,0.013187142470633892,-0.0007937767592011978,,,
2018-01-05,299.5161999982949,300.18293826369325,296.8015459516768,298.039794921875,6366054,ICICIBANK.NS,,,,,,,,,0.0,0.0,0.0,,297.1111114659129,,,,,,,,,,,,0.0,301.60219558221456,293.7344801681676,-3160137,,,-10.118869308821145,-0.005719812468502727,,,,-0.005736233241605923,,,0.011345438997174162,-0.004929299571870567,,,
2018-01-08,298.6113137305207,303.0881137933312,297.7540621841773,299.2304382324219,7329648,ICICIBANK.NS,,,,,,,,,0.0,0.0,0.0,,297.99217233528805,,,,,,,,,,,,0.0,302.22820570947835,293.8937589947213,4169511,,,140.3691347214387,0.003994913870005057,0.012407203331247896,,,0.00398695539017708,,,0.017825899131995303,0.002073345762310623,,,
2018-01-09,299.8495900968376,300.8020983615267,295.9919432521448,297.75408935546875,9190909,ICICIBANK.NS,,,,,,,,,0.0,0.0,0.0,,297.99217233528805,,,,,,,,,,,,0.0,302.33744281275693,293.8193013117132,-5021398,,,-105.93160150794299,-0.004933819185220734,0.00936408901450303,,,-0.004946030653773468,,,0.01615479108882834,-0.006988506273068686,,,
2018-01-10,297.70639345971034,298.08741995229576,295.8013772697439,297.1825256347656,6736971,ICICIBANK.NS,,,,,,,,,0.0,0.0,0.0,,297.99217233528805,,,,,,,,,,,,0.0,301.9589895821816,293.9341050981303,-11758369,,,-49.291533854863765,-0.0019195831094724891,-0.009523975168520993,,,-0.001921427870288741,,,0.007692385942507856,-0.001759679457524358,,,
2018-01-11,297.6587939532008,297.6587939532008,293.89637517033566,294.80126953125,8366713,ICICIBANK.NS,,,,,,,,,0.0,0.0,0.0,,297.99217233528805,,,,,,,,,,,,0.0,301.65405351761996,293.684729802271,-20125082,,,-52.470344028953335,-0.008012772953017278,-0.016523744317805678,,,-0.008045047740863053,,,0.01276255963499616,-0.009600000000000289,,,
2018-01-12,294.8965549356129,303.6596132437686,294.8965549356129,302.61187744140625,11699345,ICICIBANK.NS,,,,,,,,,0.0,0.0,0.0,,298.27792206050674,,,,,,,,,,,,0.0,302.4038888506998,293.47888584525464,-8425737,,,262.19486194189966,0.02649448532760923,0.015340510218542214,,,0.026149585156145825,,,0.02895807785949327,0.026162809896093465,,,
2018-01-15,305.564629721177,314.9944844887087,305.04076181997834,313.66094970703125,30242005,ICICIBANK.NS,,,,,,,,,0.0,0.0,0.0,,303.9453576829768,,,,,6.12309588654395,,,,,,,0.0,304.1113342285728,294.18792737476264,21816268,,,353.4765417820314,0.036512354898443844,0.04822541302900718,0.06123095886543961,,0.03586157264749396,,,0.031734019418188375,0.026496260359852475,,,
2018-01-16,314.0895851436304,324.56717555024125,311.0415472162278,318.2330017089844,26707100,ICICIBANK.NS,,,,303.01755514104866,,,,,0.0,0.0,0.0,,308.73170321374306,,,,,7.878606993996663,,,,,,,0.0,306.391462195011,295.0407345233494,48523368,,,394.35403775862574,0.014576414457150522,0.06877793819001843,0.07878606993996673,,0.01447119973118364,,,0.04250228059747956,0.013191830488295916,,,
2018-01-17,318.1853683101039,327.8533502725718,318.1853683101039,326.9484558105469,43305353,ICICIBANK.NS,,,,306.69923216712533,,,,,0.0,0.0,0.0,,310.37479057490833,,,,,8.968253144873824,,,,,,,0.0,308.51496818720574,296.5499915729846,91828721,,,116.42557378495606,0.02738702163119,0.100160432085308,0.08968253144873817,,0.027018706725953866,,,0.029570355175710245,0.02754082485622798,,,
2018-01-18,333.37788644145814,336.425924459078,326.7103287126289,329.7107238769531,31504669,ICICIBANK.NS,,,,310.239461660945,,,,,0.0,0.0,0.0,,314.6610776681614,88.65174999273253,84.57328772714493,,-15.426712272855065,9.993647141468204,,,,,,,6.619941623562572,310.81136960926267,298.31309193227884,123333390,,79.48422328022049,263.6319307591476,0.008448634692457047,0.11841690641702818,0.09993647141468198,,0.008413144732738126,,,0.029467029862440593,-0.011000017438616108,,,
2018-01-19,330.9489655070034,338.1403903505422,324.6147631092239,336.806884765625,18812611,ICICIBANK.NS,,,,314.3267575232034,,,,,0.0,0.0,0.0,,315.5183106138935,90.6171390837696,97.05264590956936,,-2.947354090430641,13.007353549519115,,,,,,,7.113204881973696,313.20480985640836,299.7363337257144,142146001,,81.31805082321335,-13.699886330199263,0.02152238424407482,0.11299955445681342,0.13007353549519118,,0.02129404814761427,,,0.04015840486969393,0.017700370356642372,,,
2018-01-22,335.6638922126669,336.1401463245091,328.4248238990181,334.806640625,15269782,ICICIBANK.NS,,,,317.47750876963363,,,,,0.0,41.69654833715908,7.6244161515358275,,315.5183106138935,86.09106198032684,92.46508321642197,91.36367228437875,-7.534916783578025,11.8892324600163,,,,,,,7.203837452304638,314.93195878465366,301.3408471089417,126876219,,77.97281993513434,45.72206683591119,-0.005938845763253653,0.0674157587602775,0.11889232460016297,,-0.005956550841039957,,,0.023044114092505442,-0.002553898728921861,,,
2018-01-23,333.8064907123522,347.1416047291614,333.8064907123522,345.0936889648437,22485663,ICICIBANK.NS,,,,321.726151876589,,,,,0.0,46.70367337897531,6.688797269479697,,320.0189178032031,89.10498356147352,96.15380423507213,95.22384445368782,-3.8461957649278737,15.898891501993564,,,,,,,7.641785778340678,317.3094342768659,302.9489628153947,149361882,,79.38870137741837,485.8003135898413,0.0307253414109121,0.08440572508699984,0.15898891501993573,,0.030262769360588273,,,0.03864201068645944,0.03381359729825604,,,
2018-01-24,340.75979421765646,342.1409426768628,335.0923590387312,335.99725341796875,12815095,ICICIBANK.NS,,,,323.9217059598782,,,,,0.0,42.49208312729624,6.085622586687406,,320.0189178032031,73.86333224079739,79.06976567942061,89.22955104363824,-20.93023432057939,13.060905145851692,,,,,,,7.810324646038664,318.8362491512614,304.49040570007963,136546787,,77.00557947615543,-102.16090585185015,-0.02635932165019006,0.027676526518495947,0.13060905145851698,,-0.026712956803442836,,,0.020978098976789466,-0.013976240391334707,,,
2018-01-25,335.7591112482485,347.4749494602528,334.0446082649155,343.6649169921875,30183655,ICICIBANK.NS,,,,326.95912304177193,,,,,0.0,42.171831603479845,5.383556032442494,,320.18559016874883,77.37627187593529,92.88888792103918,89.37081927851064,-7.111112078960809,16.575114326554072,,,,,,,8.211754399559995,320.74794653458747,305.7434273497481,166730442,,81.31426469060224,95.35936032125265,0.022820613847936544,0.04232253337456515,0.16575114326554075,,0.022564118561028836,,,0.03907975627213237,0.023546064660904323,,,
2018-01-29,342.9029201393407,348.3322280021765,338.7118902623969,340.6645202636719,17855095,ICICIBANK.NS,315.27782745361327,,,329.067645691295,,,,,0.0,39.453719210861685,4.943604398079285,,320.6142294397107,73.22862597336565,85.91423236779049,85.95762865608343,-14.085767632209514,12.574735381836966,,352.72534912217264,315.27782745361327,277.8303057850539,23.755252293515007,0.8389635906315939,8.31236749528997,322.3200434036512,307.10371640407584,148875347,0.24813480197547674,82.10216379983916,148.83185514537004,-0.008730587791083266,0.011453552978085035,0.12574735381836954,,-0.00876892265972336,1.0805216561376925,,0.028239916890475038,-0.006527794731987874,,,
2018-01-30,339.854903115272,339.854903115272,333.85411327710324,336.4735107421875,13358981,ICICIBANK.NS,317.3233367919922,,,330.2070095452785,,,,,0.0,37.13982760002733,8.836976029366081,,320.6142294397107,67.76449937159566,78.21524483758512,85.6727883754716,-21.784755162414886,7.273000051955421,,354.7091564811848,317.3233367919922,279.9375171027996,23.563233682809333,0.7561154751908677,8.205084601809876,324.40523956660843,309.05556208481914,135516366,0.2506994677771609,80.57767984836181,-299.50317245616276,-0.012302453798947344,0.004978605305067552,0.07273000051955414,0.13841428705508996,-0.012378755427674143,1.0603490879170616,,0.017834360348106842,-0.009949517697373364,0.27036856238833007,,0.11751633398803929
2018-01-31,332.2825154591748,337.1403134447952,327.28184704685145,336.18780517578125,22638319,ICICIBANK.NS,319.3831390380859,,,331.1271319499712,,,,,0.0,34.02867653878815,13.681249800127754,,320.6142294397107,67.39530569570414,77.6903966878026,80.6066246310594,-22.3096033121974,5.642030641189145,,356.15489646149564,319.3831390380859,282.6113816146762,23.02673681156647,0.7284996328051091,8.323183301533723,326.62855557999296,310.6930860096541,112878047,0.2907374068766953,76.11549784297057,-202.21059001747975,-0.0008491175598817069,-0.02580714766409342,0.05642030641189155,0.1396515105588596,-0.0008494782643984375,1.0526160090614283,,0.029324283171988003,0.011752919684051951,0.26993944079882837,,0.10994625508143985
