Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_200,EMA_12,EMA_26,MACD,MACD_Signal,MACD_Hist,ADX,DI_Plus,DI_Minus,RSI_14,Stoch_K,Stoch_D,Williams_R,ROC_10,TSI,BB_Upper,BB_Lower,BB_Width,BB_Pct,ATR_14,KC_Upper,KC_Lower,OBV,CMF,MFI_14,Return_1d,Return_5d,Return_10d,Return_20d,Log_Return,Price_SMA20_Ratio,Price_SMA50_Ratio,High_Low_Range,Close_Open_Range,Vol_20d,Vol_60d,Skew_20d,RSI_14_lag1,RSI_14_lag2,RSI_14_lag3,RSI_14_lag5,MACD_lag1,MACD_lag2,MACD_lag3,MACD_lag5,Return_1d_lag1,Return_1d_lag2,Return_1d_lag3,Return_1d_lag5,ATR_14_lag1,ATR_14_lag2,ATR_14_lag3,ATR_14_lag5,Vol_20d_lag1,Vol_20d_lag2,Vol_20d_lag3,Vol_20d_lag5,BB_Pct_lag1,BB_Pct_lag2,BB_Pct_lag3,BB_Pct_lag5,MFI_14_lag1,MFI_14_lag2,MFI_14_lag3,MFI_14_lag5,ADX_lag1,ADX_lag2,ADX_lag3,ADX_lag5,Target_1d,Target_5d,Target_Return_1d,Ticker
2018-10-23,465.9864311784535,471.27594387522913,461.9584283750736,466.8495788574219,23128845,509.5430236816407,533.0096569824219,452.294485168457,494.1206478056965,509.3053211883303,-15.18467338263372,-12.18109445481956,-3.003578927814157,40.31139192458732,12.289120406791248,37.08153720941089,35.04716809717819,13.618339025804003,20.12441341699844,-86.381660974196,-4.930590883887851,-20.49681072930692,571.4964364853171,447.5896108779643,24.317245031063173,0.1554391203636378,19.677785652317876,529.2130903979045,489.5704848773959,430002635,0.0585990899960686,35.64277002916512,-0.0074812001659634,-0.0746215108425407,-0.0493059088388785,-0.1337166574343761,-0.0075093247019134,0.9162122866176392,0.8758745226126702,0.0199582819009057,0.0018523021728026,0.4956905313808035,0.3510357278366567,-0.2386853770791447,35.86033685492562,40.05598128907133,46.60635836934296,44.53523208840441,-13.622756596692795,-11.789323749071857,-11.019615074002443,-13.934933448758784,-0.0350949076815861,-0.0434292858662637,-0.0107407208181538,0.0117170497869505,20.474729510176516,20.09359367793368,18.879577212781832,19.511487058059146,0.4975745248665121,0.4855856679695257,0.4636254974233612,0.4591780863768444,0.1432348297462652,0.2476261618432907,0.4170306974735788,0.3465997335578791,35.99094592095884,42.46174965106725,52.13426021172829,52.72830739262378,39.54942929157446,38.90756049878724,38.38681838136369,39.124272694818536,0,1,-0.008485835836918754,RELIANCE.NS
2018-10-24,475.7908340498048,476.255619514561,456.53612848480526,462.8879699707031,29869514,505.4198623657227,531.7839935302734,452.6088484191894,489.3156204464668,505.8669988759134,-16.551378429446572,-13.055151249744965,-3.496227179701608,41.16531222217776,11.409598828690516,36.395591691985565,34.10941739638169,12.253582778710362,13.950979395542769,-87.74641722128963,-4.064032312795552,-22.29272272741175,568.2618649064748,442.5778598249705,24.86724690502153,0.1615966179034619,19.68076460784915,525.5546979386867,485.5070816359327,400133121,0.0170522995312727,34.78746235225482,-0.0084858358369187,-0.101435046319488,-0.0406403231279555,-0.1512112321005158,-0.0085220455337231,0.9158483954391105,0.8704435928915409,0.0426010013416503,-0.0271187739563537,0.490785519273671,0.3510487472840455,-0.1485158887362036,35.04716809717819,35.86033685492562,40.05598128907133,48.44546970391141,-15.18467338263372,-13.622756596692795,-11.789323749071857,-12.13033421757052,-0.0074812001659634,-0.0350949076815861,-0.0434292858662637,0.0211013410363685,19.677785652317876,20.474729510176516,20.09359367793368,18.992022789772843,0.4956905313808035,0.4975745248665121,0.4855856679695257,0.4677764527125911,0.1554391203636378,0.1432348297462652,0.2476261618432907,0.4519917242175753,35.64277002916512,35.99094592095884,42.46174965106725,58.02014974002408,40.31139192458732,39.54942929157446,38.90756049878724,38.96085099707016,0,1,-0.014295968074183985,RELIANCE.NS
2018-10-25,458.5722753959439,460.6305393309256,449.8965654116271,456.2705383300781,30833933,500.9979187011719,530.1294152832031,452.8870468139648,484.2317616593301,502.1931869836293,-17.96142532429917,-14.036406064655807,-3.925019259643364,42.13379532132826,10.85824496315272,37.10651825046921,32.54304437643633,8.83706043403163,11.569660746181995,-91.16293956596836,-6.469459215196828,-24.25235892089504,564.6005948613474,437.3952425409964,25.39039536334374,0.148384446446456,19.20295317579393,520.6856916548106,481.77786611446936,369299188,0.0111318547638036,36.740861766645885,-0.0142959680741839,-0.1046643519759178,-0.0646945921519682,-0.1623597305356177,-0.0143991399003045,0.9107234207937456,0.8606776480915166,0.0235254591685542,-0.0050193550490561,0.4906805790306839,0.3520025156947828,-0.0789794532959933,34.10941739638169,35.04716809717819,35.86033685492562,46.60635836934296,-16.551378429446572,-15.18467338263372,-13.622756596692795,-11.019615074002443,-0.0084858358369187,-0.0074812001659634,-0.0350949076815861,-0.0107407208181538,19.68076460784915,19.677785652317876,20.474729510176516,18.879577212781832,0.490785519273671,0.4956905313808035,0.4975745248665121,0.4636254974233612,0.1615966179034619,0.1554391203636378,0.1432348297462652,0.4170306974735788,34.78746235225482,35.64277002916512,35.99094592095884,52.13426021172829,41.16531222217776,40.31139192458732,39.54942929157446,38.38681838136369,1,1,0.013678616912645714,RELIANCE.NS
2018-10-26,457.2000445426369,467.8676239361751,452.375317529424,462.5116882324219,20085933,496.4276870727539,528.5974468994141,453.188426361084,480.8902119013442,499.25381670576206,-18.363604804417832,-14.901845812608212,-3.461758991809619,42.40319843431539,12.95339730958132,34.93828365401623,35.5491839879444,17.489971196361207,12.8602048030344,-82.51002880363879,-3.943738992062211,-25.00780096001225,557.2382032452888,435.617170900219,24.49924440399829,0.2211337694938841,18.93790697800516,516.377356103422,477.1065636505755,389385121,0.0021425538118769,44.11149895477175,0.0136786169126457,-0.0512122230466366,-0.039437389920622,-0.1650152363017906,0.0135859090855244,0.9316798806280896,0.874979043022946,0.0334960322104678,0.0116177672185017,0.4886082464391917,0.3532341068160286,-0.07339819261376,32.54304437643633,34.10941739638169,35.04716809717819,40.05598128907133,-17.96142532429917,-16.551378429446572,-15.18467338263372,-11.789323749071857,-0.0142959680741839,-0.0084858358369187,-0.0074812001659634,-0.0434292858662637,19.20295317579393,19.68076460784915,19.677785652317876,20.09359367793368,0.4906805790306839,0.490785519273671,0.4956905313808035,0.4855856679695257,0.148384446446456,0.1615966179034619,0.1554391203636378,0.2476261618432907,36.740861766645885,34.78746235225482,35.64277002916512,42.46174965106725,42.13379532132826,41.16531222217776,40.31139192458732,38.90756049878724,1,1,0.04105655321870505,RELIANCE.NS
2018-10-29,462.9985821293439,484.1787621470229,462.9985821293439,481.5008239746094,16781215,492.75490112304686,527.5669860839844,453.5726599121094,480.9841522203081,497.9387802071582,-16.954627986850085,-15.312402247456587,-1.6422257393934956,41.38681478411916,17.99503207608363,32.11214030285772,43.761099937538056,43.817058287989525,23.38136330612745,-56.18294171201048,-3.4397165117163766,-23.129649141475078,547.5581702274712,437.9516320186225,22.243622125125988,0.3973229395586464,19.13284747347629,512.9871170561815,472.7270350790441,406166336,0.0127491907226151,38.37833296185409,0.041056553218705,0.023667240099046,-0.0343971651171637,-0.1323630109867485,0.0402361140157421,0.977160902666238,0.9126818710713608,0.0439878375344086,0.0399617678312817,0.5185425316898482,0.3616819559789901,-0.0589804439330686,35.5491839879444,32.54304437643633,34.10941739638169,35.86033685492562,-18.363604804417832,-17.96142532429917,-16.551378429446572,-13.622756596692795,0.0136786169126457,-0.0142959680741839,-0.0084858358369187,-0.0350949076815861,18.93790697800516,19.20295317579393,19.68076460784915,20.474729510176516,0.4886082464391917,0.4906805790306839,0.490785519273671,0.4975745248665121,0.2211337694938841,0.148384446446456,0.1615966179034619,0.1432348297462652,44.11149895477175,36.740861766645885,34.78746235225482,35.99094592095884,42.40319843431539,42.13379532132826,41.16531222217776,39.54942929157446,0,1,-0.028313989404999518,RELIANCE.NS
2018-10-30,480.4827719550035,480.4827719550035,465.6986652988151,467.86761474609375,19263668,488.3075012207031,526.4099328613281,453.88224197387694,478.9662233781213,495.7112864693016,-16.74506309118027,-15.598934416201326,-1.1461286749789448,40.4430299660798,16.9200642517178,30.19385988795523,39.83666911589827,24.9155826457824,28.740870710044376,-75.08441735421759,-7.260358353740558,-22.74451941652938,535.5028536367705,441.11214880463575,19.33017711097427,0.2834544565488747,18.894941130784712,508.89013615460334,468.2316832454547,386902668,-0.0057311052077643,32.16491001161492,-0.0283139894049995,0.0021806507594233,-0.0726035835374055,-0.1597440804519018,-0.0287225610758217,0.9581413629249758,0.8887894880762895,0.0315989100126358,-0.0262551707266855,0.5226790235651172,0.3638305742000809,0.0843627948022802,43.761099937538056,35.5491839879444,32.54304437643633,35.04716809717819,-16.954627986850085,-18.363604804417832,-17.96142532429917,-15.18467338263372,0.041056553218705,0.0136786169126457,-0.0142959680741839,-0.0074812001659634,19.13284747347629,18.93790697800516,19.20295317579393,19.677785652317876,0.5185425316898482,0.4886082464391917,0.4906805790306839,0.4956905313808035,0.3973229395586464,0.2211337694938841,0.148384446446456,0.1554391203636378,38.37833296185409,44.11149895477175,36.740861766645885,35.64277002916512,41.38681478411916,42.40319843431539,42.13379532132826,40.31139192458732,1,1,0.004020719732444222,RELIANCE.NS
2018-10-31,468.7528443197992,471.784911714554,463.441200957964,469.748779296875,35999348,484.5351226806641,525.0877734375,454.18957778930667,477.54815505792953,493.78813778986256,-16.239982731933026,-15.727144079347667,-0.5128386525853585,39.66482124288292,16.364204481969765,30.090770623917283,40.62786583608181,27.523683595425545,32.08544150973249,-72.47631640457445,-8.811674207673011,-22.19927516076944,524.4361870381424,444.63405832318574,16.46983365694023,0.3147124190558367,18.14128181834224,504.2878107189202,465.1719521350756,422902016,0.0250177737829927,25.28678798051081,0.0040207197324442,0.0148217490435236,-0.0881167420767301,-0.1383860526345545,0.004012658240303,0.9694834436315278,0.8946100120017136,0.0177620701198606,0.0021246483923121,0.5221105028295592,0.3581587570603134,-0.0351986268939924,39.83666911589827,43.761099937538056,35.5491839879444,34.10941739638169,-16.74506309118027,-16.954627986850085,-18.363604804417832,-16.551378429446572,-0.0283139894049995,0.041056553218705,0.0136786169126457,-0.0084858358369187,18.894941130784712,19.13284747347629,18.93790697800516,19.68076460784915,0.5226790235651172,0.5185425316898482,0.4886082464391917,0.490785519273671,0.2834544565488747,0.3973229395586464,0.2211337694938841,0.1615966179034619,32.16491001161492,38.37833296185409,44.11149895477175,34.78746235225482,40.4430299660798,41.38681478411916,42.40319843431539,41.16531222217776,0,1,-0.004711250663300248,RELIANCE.NS
2018-11-01,472.6924006488866,472.6924006488866,464.7692115212689,467.5356750488281,20552752,481.24080047607424,523.808109741211,454.4585868835449,476.0077735180678,491.8435109201563,-15.835737402088512,-15.748862743895836,-0.0868746581926753,38.866180532232754,16.20458921633924,29.11269788452495,39.96204093222984,24.455371847474936,25.63154602956096,-75.54462815252506,-8.255887367552981,-21.94230202111565,514.8338542385899,447.6477467135586,13.961016492900532,0.2960125101437071,17.411418054719054,500.3369080615283,462.17936117487534,402349264,0.0346697638481322,31.415532739484192,-0.0047112506633002,0.0246895992013416,-0.0825588736755298,-0.1235165204584014,-0.004722383585126,0.9715212728977092,0.892570516481342,0.0169467049263998,-0.0109092627530706,0.5192397046553425,0.3579181882690485,-0.1165221788030223,40.62786583608181,39.83666911589827,43.761099937538056,32.54304437643633,-16.239982731933026,-16.74506309118027,-16.954627986850085,-17.96142532429917,0.0040207197324442,-0.0283139894049995,0.041056553218705,-0.0142959680741839,18.14128181834224,18.894941130784712,19.13284747347629,19.20295317579393,0.5221105028295592,0.5226790235651172,0.5185425316898482,0.4906805790306839,0.3147124190558367,0.2834544565488747,0.3973229395586464,0.148384446446456,25.28678798051081,32.16491001161492,38.37833296185409,36.740861766645885,39.66482124288292,40.4430299660798,41.38681478411916,42.13379532132826,1,1,0.017656612909132008,RELIANCE.NS
2018-11-02,472.2939483061466,478.4908703381473,470.5897844056496,475.790771484375,36739798,480.192854309082,522.6674310302734,454.7657934570312,475.9743885898074,490.6544191100984,-14.68003052029104,-15.535096299174878,0.8550657788838372,37.63355217457797,17.899980601457017,27.76870120354093,43.6703669654895,35.90047634086126,29.29317726125392,-64.09952365913873,-2.397176145581956,-20.657765396620466,513.0856483350886,447.30006028307537,13.699826530460944,0.4330843889207693,16.95025928576192,497.3915242285476,462.1797273770427,439089062,0.1097873814469607,34.29036137338966,0.017656612909132,0.0287108057802856,-0.0239717614558195,-0.0421921212196424,0.0175025458112639,0.9908326773603476,0.910312644785431,0.0166062193847263,0.0074039127343671,0.4690296382340183,0.3580151913211974,-0.0602660627992298,39.96204093222984,40.62786583608181,39.83666911589827,35.5491839879444,-15.835737402088512,-16.239982731933026,-16.74506309118027,-18.363604804417832,-0.0047112506633002,0.0040207197324442,-0.0283139894049995,0.0136786169126457,17.411418054719054,18.14128181834224,18.894941130784712,18.93790697800516,0.5192397046553425,0.5221105028295592,0.5226790235651172,0.4886082464391917,0.2960125101437071,0.3147124190558367,0.2834544565488747,0.2211337694938841,31.415532739484192,25.28678798051081,32.16491001161492,44.11149895477175,38.866180532232754,39.66482124288292,40.4430299660798,42.40319843431539,1,1,0.01432705574960269,RELIANCE.NS
2018-11-05,475.1490197847463,483.66978116030407,471.4087230901009,482.6074523925781,16585905,481.11022186279297,521.38732421875,455.1171965026856,476.9948599440798,490.0583475013932,-13.063487557313408,-15.040774550802585,1.9772869934891768,36.06381588092106,19.18286912433689,26.3050187477462,46.60329844761496,45.35131993809756,35.23572270881125,-54.64868006190244,2.6019924044810123,-18.72367315726663,513.1877089702829,449.0327347553031,13.334776793263822,0.5233377154009605,16.615316341793438,496.6342479394627,463.6112919615989,455674967,0.204823490446202,33.634296657427825,0.0143270557496026,0.0022982897699612,0.02601992404481,0.0395195516955211,0.0142253933510723,1.0031120322573652,0.9256217594390508,0.0254058614499582,0.0156970388178653,0.4067341584121444,0.359004641942571,0.2962263295003662,43.6703669654895,39.96204093222984,40.62786583608181,43.761099937538056,-14.68003052029104,-15.835737402088512,-16.239982731933026,-16.954627986850085,0.017656612909132,-0.0047112506633002,0.0040207197324442,0.041056553218705,16.95025928576192,17.411418054719054,18.14128181834224,19.13284747347629,0.4690296382340183,0.5192397046553425,0.5221105028295592,0.5185425316898482,0.4330843889207693,0.2960125101437071,0.3147124190558367,0.3973229395586464,34.29036137338966,31.415532739484192,25.28678798051081,38.37833296185409,37.63355217457797,38.866180532232754,39.66482124288292,41.38681478411916,1,1,0.012657074413619185,RELIANCE.NS
