Date,Open,High,Low,Close,Volume,Ticker,SMA_20,SMA_50,SMA_200,EMA_12,EMA_26,MACD,MACD_Signal,MACD_Hist,ADX,DI_Plus,DI_Minus,Ichimoku_A,Ichimoku_B,RSI_14,Stoch_K,Stoch_D,Williams_R,ROC_10,TSI,BB_Upper,BB_Middle,BB_Lower,BB_Width,BB_Pct,ATR_14,KC_Upper,KC_Lower,OBV,CMF,MFI_14,EOM,Return_1d,Return_5d,Return_10d,Return_20d,Log_Return,Price_SMA20_Ratio,Price_SMA50_Ratio,High_Low_Range,Close_Open_Range,Vol_20d,Vol_60d,Skew_20d
2018-01-01,405.7093940695705,405.7093940695705,399.0259980520491,400.0153198242188,9453202,RELIANCE.NS,,,,,,,,,0.0,0.0,0.0,,402.3676960608098,,,,,,,,,,,,0.0,408.26696666613424,394.9001746310914,9453202,,,,,,,,,,,0.016707850140485512,-0.014034859257844303,,,
2018-01-02,401.44430689808223,404.3243349654804,398.5422945557765,400.630859375,9499419,RELIANCE.NS,,,,,,,,,0.0,0.0,0.0,,402.1258443126735,,,,,,,,,,,,0.0,407.60741835396186,395.14198192673655,18952621,,,-56.87327230981539,0.0015387899419745388,,,,0.0015376072178856079,,,0.014432339083225125,-0.002026302301725624,,,
2018-01-03,406.7206883923315,407.1604032514544,401.4662998187556,402.23577880859375,13507800,RELIANCE.NS,,,,,,,,,0.0,0.0,0.0,,402.8513489036154,,,,,,,,,,,,0.0,408.176589144519,396.070229237903,32460421,,,121.40561219329409,0.0040059805580066055,,,,0.003997977982878477,,,0.014156133622833111,-0.011027001359251045,,,
2018-01-04,403.7087605627071,405.3136713921885,402.63150170165216,404.6541137695313,9008932,RELIANCE.NS,,,,,,,,,0.0,0.0,0.0,,402.8513489036154,,,,,,,,,,,,0.0,407.852924852971,397.43207007774083,41469353,,,-10.145370426870869,0.006012232348153068,,,,0.005994230995424913,,,0.00662830204677953,0.002341671271900435,,,
2018-01-05,405.3136584175376,407.5561131706841,404.63211654099234,405.9512023925781,7441284,RELIANCE.NS,,,,,,,,,0.0,0.0,0.0,,403.04920386323033,,,,,,,,,,,,0.0,408.07643468193214,398.57015220987125,48910637,,,83.3638606599564,0.0032054255199924775,,,,0.003200299095603472,,,0.007202827858270755,0.0015729644481502494,,,
2018-01-08,407.204357403856,409.3588750180191,406.06114577296336,408.2816162109375,8827020,RELIANCE.NS,,,,,,,,,0.0,0.0,0.0,,403.9505847868978,,,,,,,,,,,,0.0,408.5967413870039,399.5755962452679,57737657,,,60.369025764853866,0.005740625485586737,0.02066494950831177,,,0.0057242108851922316,,,0.00807709461831848,0.002645499213096772,,,
2018-01-09,408.1057058870631,415.0309577327552,406.2809817737514,413.7338562011719,14294571,RELIANCE.NS,,,,,,,,,0.0,0.0,0.0,,406.7866261442658,,,,,,,,,,,,0.0,410.287479454798,400.05507620216616,72032228,,,180.32771712156003,0.013354115820432888,0.03270590999059109,,,0.013265735573035219,,,0.02114880333783766,0.013790913072081091,,,
2018-01-10,414.6352523601828,416.5699272501448,411.3375230779073,414.3494567871094,11727682,RELIANCE.NS,,,,,,,,,0.0,0.0,0.0,,407.55611090296065,,,,,,,,,,,,0.0,411.4162995076097,401.1548456184974,83759910,,,147.1321371976673,0.0014879144568680225,0.030115863920399777,,,0.0014868086089547042,,,0.012627998146322912,-0.0006892698376382904,,,
2018-01-11,414.1075988695826,414.48136089217263,411.11764944637065,412.3268432617188,7849171,RELIANCE.NS,,,,,,,,,0.0,0.0,0.0,,407.55611090296065,,,,,,,,,,,,0.0,411.92622874519634,402.0574449669183,75910739,,,-49.46335106381201,-0.004881419517414165,0.01896120472052698,,,-0.004893372560075154,,,0.008157876453527215,-0.004300224416854084,,,
2018-01-12,414.6352657297149,418.9443011456159,412.5467008484465,417.2734375,15071161,RELIANCE.NS,,,,,,,,,0.0,0.0,0.0,,408.7432978506962,,,,,,,,,,,,0.0,412.9988472168624,402.83742175697824,90981900,,,125.05542063504163,0.011996779543022473,0.027890630796734595,,,0.01192538859046973,,,0.01533191361400614,0.006362632386423293,,,
