Date,Open,High,Low,Close,Volume,Ticker
2018-01-01,1078.194406797036,1083.2189863890362,1059.1813779936433,1063.4422607421875,1351760,TCS.NS
2018-01-02,1069.230828971194,1073.0897464054783,1053.2325435570622,1057.6541748046875,1920290,TCS.NS
2018-01-03,1057.9755223720406,1072.848278575599,1057.6539296376716,1060.6485595703125,1257120,TCS.NS
2018-01-04,1065.2110625073851,1070.0346597715693,1061.1913981205646,1068.0650634765625,913082,TCS.NS
2018-01-05,1065.2111949899422,1085.108536179377,1065.2111949899422,1080.96826171875,1153706,TCS.NS
2018-01-08,1085.309014549321,1096.1018490040833,1078.0133654282613,1091.0972900390625,1242220,TCS.NS
2018-01-09,1091.3386780663843,1093.7504762499568,1075.8830910005904,1088.9268798828125,2149396,TCS.NS
2018-01-10,1089.7310264309665,1131.9375029249727,1083.1588358366498,1128.1590576171875,3365850,TCS.NS
2018-01-11,1129.5256007757905,1134.308961752302,1118.3509150625578,1121.687255859375,2520744,TCS.NS
2018-01-12,1127.5158104209224,1127.5158104209224,1101.6090942258616,1115.99951171875,3360314,TCS.NS
2018-01-15,1116.3209439806606,1128.721646624928,1099.398217491051,1103.8399658203125,1457214,TCS.NS
2018-01-16,1107.8194894923236,1150.2872038897715,1105.6287920594552,1145.946044921875,4267752,TCS.NS
2018-01-17,1153.64349899042,1175.7516496679368,1150.4880236846457,1161.2607421875,4280806,TCS.NS
2018-01-18,1164.4966426271278,1178.9674328013,1152.8597351559963,1173.018310546875,2209478,TCS.NS
2018-01-19,1177.9830132484967,1198.6641712233177,1167.1700549012537,1189.53955078125,1820000,TCS.NS
2018-01-22,1193.0445565272053,1263.031649136002,1177.3306971200586,1255.658203125,4367110,TCS.NS
2018-01-23,1255.0738660764937,1266.1139175438598,1245.041211558966,1249.8560791015625,3239610,TCS.NS
2018-01-24,1245.0213663415095,1313.1349335816687,1242.0598684040574,1279.1083984375,5621538,TCS.NS
2018-01-25,1279.2695949434835,1281.20362849311,1241.3951565420073,1257.5321044921875,3833844,TCS.NS
