Date,Open,High,Low,Close,Volume,Ticker
2018-01-01,429.82628030598113,431.67394551359183,424.7308978720732,425.6489868164063,6580516,HDFCBANK.NS
2018-01-02,426.5785814957083,430.354211235137,426.5785814957083,429.7459716796875,4776316,HDFCBANK.NS
2018-01-03,430.3542432454461,431.10019060040486,424.8916021773755,425.2244262695313,4531288,HDFCBANK.NS
2018-01-04,425.3047490496545,428.17377730821937,425.3047490496545,426.8884582519531,2373776,HDFCBANK.NS
2018-01-05,427.5999631483372,428.7590617488759,425.8900335473976,427.7376708984375,2870868,HDFCBANK.NS
2018-01-08,428.0590369002565,429.3673026423537,426.3950004297327,427.0491333007813,4570308,HDFCBANK.NS
2018-01-09,427.3704434865593,429.1721876044545,425.7637876839783,427.7606201171875,5305528,HDFCBANK.NS
2018-01-10,428.1049189943324,428.72464592275054,426.2917155086635,427.8753967285156,4615888,HDFCBANK.NS
2018-01-11,427.8753674321356,430.5837411904748,426.0506767509695,429.7919006347656,4059096,HDFCBANK.NS
2018-01-12,429.89520943241655,431.07725472022514,426.9114199382247,428.1278991699219,4336708,HDFCBANK.NS
2018-01-15,429.1951968375912,437.1022565730584,426.8770273021206,435.575927734375,12576444,HDFCBANK.NS
2018-01-16,436.8841155987385,438.3874975435289,432.70682185546485,436.126708984375,6445384,HDFCBANK.NS
2018-01-17,435.4037294143156,436.677589170877,433.1085068027483,433.9118347167969,2905496,HDFCBANK.NS
2018-01-18,441.6008143742444,448.4864819580424,440.2351681772657,443.96490478515625,16649540,HDFCBANK.NS
2018-01-19,444.1599658631857,449.8406412715135,440.51055666396246,448.07330322265625,11455988,HDFCBANK.NS
2018-01-22,449.8636133845046,456.2902364328546,448.2913915637467,450.6325073242188,8849768,HDFCBANK.NS
2018-01-23,451.0112037497537,451.4013803524728,446.03058232515406,447.8667602539063,5047796,HDFCBANK.NS
2018-01-24,448.1537522437688,451.9293826540248,447.706166973849,449.3243103027344,4790568,HDFCBANK.NS
2018-01-25,448.4635258838263,454.4540509518944,447.6831446372072,453.2949523925781,8723668,HDFCBANK.NS
2018-01-29,453.99507042644734,460.639729233888,453.99507042644734,458.9642333984375,8235892,HDFCBANK.NS
2018-01-30,458.5396006587744,459.48063635901343,455.40661608032366,458.0116882324219,6397560,HDFCBANK.NS
2018-01-31,456.6115871959247,462.14306802865417,456.0607281713116,460.352783203125,6943348,HDFCBANK.NS
2018-02-01,460.42164451940994,462.487344818849,455.6705450378416,457.0132446289063,6521420,HDFCBANK.NS
2018-02-02,455.8311900113397,456.7263323928783,445.6174498524754,447.1093444824219,7346124,HDFCBANK.NS
2018-02-05,440.22370219805657,444.182961250672,437.4350010878608,439.2711791992188,7926784,HDFCBANK.NS
2018-02-06,426.9113885266008,438.8465456251939,421.4717223638063,435.3578186035156,10749804,HDFCBANK.NS
2018-02-07,437.69895436559744,437.69895436559744,427.462267066858,429.8493041992188,8364972,HDFCBANK.NS
2018-02-08,432.4199332430902,435.7709525998959,428.4032937357897,431.7198791503906,5171444,HDFCBANK.NS
2018-02-09,424.134173810059,427.9901308214529,423.26197804791775,424.50140380859375,6408952,HDFCBANK.NS
2018-02-12,426.9113895668766,432.87896813071467,425.7982122460389,430.7329406738281,4381108,HDFCBANK.NS
2018-02-14,433.7512127876424,435.6103376385119,430.273944667432,432.2248840332031,3577188,HDFCBANK.NS
2018-02-15,433.72821462682526,434.88731327666255,430.354248525527,431.9379577636719,4915224,HDFCBANK.NS
2018-02-16,432.3969600545006,434.91021741322726,430.5034015459704,431.1804809570313,3583520,HDFCBANK.NS
2018-02-19,432.0986181871809,433.246229532636,426.6933855608005,431.0887145996094,3654552,HDFCBANK.NS
2018-02-20,432.59202831275263,432.8444971652876,426.6359375781415,427.6458129882813,4084068,HDFCBANK.NS
2018-02-21,428.7361098679219,428.8738456431872,425.1211341421625,426.3146667480469,2753072,HDFCBANK.NS
2018-02-22,424.6161869375277,426.9114095696224,422.67673502054936,425.35064697265625,13253596,HDFCBANK.NS
2018-02-23,426.1998452773588,432.6149805610807,424.70795074460005,431.6280517578125,4076748,HDFCBANK.NS
2018-02-26,433.3610024827447,439.4892640452747,432.3166929406206,438.7433166503906,4788884,HDFCBANK.NS
2018-02-27,439.477742118732,441.0843979196622,436.0922888239147,436.6775817871094,4787328,HDFCBANK.NS
2018-02-28,433.693817391427,435.047976372971,431.0428239602482,432.4658508300781,4066364,HDFCBANK.NS
2018-03-01,431.34116902064073,434.5544804713878,428.7475564282539,430.20501708984375,3909840,HDFCBANK.NS
2018-03-05,430.1591702620621,431.0428254027938,426.5097605456558,429.1951599121094,3781464,HDFCBANK.NS
2018-03-06,429.206616194408,431.4788921190079,422.2061874276008,423.7554626464844,4576828,HDFCBANK.NS
2018-03-07,422.3209679244696,425.3965718814035,419.6814618749417,420.62249755859375,5628164,HDFCBANK.NS
2018-03-08,422.2750759481873,426.5671311127475,420.4847910672873,425.2703247070313,5518724,HDFCBANK.NS
2018-03-09,425.7522921070276,428.11638252068974,423.23903464315873,424.857177734375,4108108,HDFCBANK.NS
2018-03-12,426.9573267173465,429.08040777089,425.3965920508606,428.5754699707031,6557116,HDFCBANK.NS
2018-03-13,428.6213295683194,432.5920758395406,425.7637886628719,426.9687805175781,5124200,HDFCBANK.NS
2018-03-14,425.99330521755167,428.7246256552219,424.1571271778208,427.9442443847656,3680392,HDFCBANK.NS
2018-03-15,428.1049161030005,433.2232738032884,428.1049161030005,431.68548583984375,5870924,HDFCBANK.NS
2018-03-16,431.5017876416622,431.754256488308,423.8242803399652,425.3046875,7896336,HDFCBANK.NS
2018-03-19,425.30470770462745,426.9113633732364,423.0439192602266,423.9849548339844,7838740,HDFCBANK.NS
2018-03-20,423.4915569687617,425.97040882182125,421.23076809434406,422.2062377929688,3657372,HDFCBANK.NS
2018-03-21,424.15716764307376,427.64589504425095,423.0784241489594,426.6589660644531,5921140,HDFCBANK.NS
2018-03-22,426.6589495961888,431.501863847502,425.7867537706316,428.6902160644531,6673224,HDFCBANK.NS
2018-03-23,423.8473158144173,425.3277232848045,421.689800820338,422.6767578125,7190152,HDFCBANK.NS
2018-03-26,422.29799789678793,436.0922796658041,420.82904987750095,434.5888977050781,10501768,HDFCBANK.NS
2018-03-27,434.66927287201287,435.8627774324587,430.5837653835137,434.3938293457031,6136836,HDFCBANK.NS
2018-03-28,432.1788853355662,436.0233828087282,430.59520431314166,432.9018859863281,8837508,HDFCBANK.NS
2018-04-02,433.91181258805887,444.2976943757392,433.91181258805887,443.25335693359375,4596368,HDFCBANK.NS
2018-04-03,441.58933658289146,441.9910005339466,438.6170345522248,439.74169921875,4079884,HDFCBANK.NS
2018-04-04,439.0645717542936,441.8188387218239,431.1460542226438,432.2477722167969,3714108,HDFCBANK.NS
2018-04-05,436.39070713645,439.30562878488143,433.8429875019398,438.1350708007813,4858892,HDFCBANK.NS
2018-04-06,438.8924685597706,442.16316087055327,437.4235484625452,441.463134765625,3720008,HDFCBANK.NS
2018-04-09,440.4072893436215,445.7321941531403,439.8564303590174,445.05511474609375,4003536,HDFCBANK.NS
2018-04-10,445.9617619197688,445.9617619197688,439.19085508671,440.8778381347656,6067236,HDFCBANK.NS
2018-04-11,439.7417132497969,440.68274893301,437.3317294665695,440.4187927246094,2870812,HDFCBANK.NS
