Date,Close,Signal,Prob_Up,Strat_Return,Equity_Strat,Equity_BnH
2023-09-29,1158.529052734375,0,0.1480901,0.0,100.0,100.0
2023-10-03,1145.263916015625,0,0.1931199,-0.0,100.0,98.85500180703785
2023-10-04,1143.2877197265625,0,0.0978256,-0.0,100.0,98.6844237551195
2023-10-05,1143.2630615234375,1,0.86799246,-0.0,100.0,98.68229534901118
2023-10-06,1145.18994140625,0,0.17227067,0.001685421271500509,100.16854212715005,98.8486165887129
2023-10-09,1135.4324951171875,1,0.86118335,-0.0,100.16854212715005,98.00638943299049
2023-10-10,1140.447021484375,1,0.8058142,0.0044164020219183975,100.610926679133,98.43922504944327
2023-10-11,1158.5537109375,1,0.8923695,0.01587683523392247,102.20830978474986,100.0021284061083
2023-10-12,1160.70263671875,0,0.12883358,0.0018548348349867183,102.39788931816373,100.18761583744875
2023-10-13,1160.6534423828125,0,0.3319285,-0.0,102.39788931816373,100.18336956189601
2023-10-16,1158.0596923828125,1,0.7654458,-0.0,102.39788931816373,99.95948652729466
2023-10-17,1163.593017578125,0,0.16755821,0.0047781001546882695,102.8871566889546,100.43710296533328
2023-10-18,1148.154052734375,0,0.11860512,-0.0,102.8871566889546,99.10446786159456
2023-10-19,1139.33544921875,0,0.11798776,-0.0,102.8871566889546,98.34327818794665
2023-10-20,1135.8525390625,0,0.08457179,-0.0,102.8871566889546,98.04264609347912
2023-10-23,1118.1163330078125,0,0.05273436,-0.0,102.8871566889546,96.51172151175832
2023-10-25,1115.522705078125,0,0.14199619,-0.0,102.8871566889546,96.28784901382087
2023-10-26,1099.985107421875,1,0.89817,-0.0,102.8871566889546,94.9467002856489
2023-10-27,1119.40087890625,1,0.788218,0.017650940320347974,104.70321175140162,96.62259882600486
2023-10-30,1142.4725341796875,0,0.18494608,0.020610717490217256,106.86122006912817,98.61405991357825
2023-10-31,1130.319091796875,1,0.85285836,-0.0,106.86122006912817,97.56501911877662
2023-11-01,1135.0125732421875,1,0.80722,0.004152350853289688,107.3049453474658,97.97014330916569
2023-11-02,1146.2767333984375,0,0.21808504,0.009924260243279637,108.36986755048494,98.94242450743725
2023-11-03,1146.0296630859375,1,0.7856787,-0.0,108.36986755048494,98.9210982996985
2023-11-06,1155.564697265625,0,0.12770629,0.008320058796743801,109.27151122030033,99.74412765379046
2023-11-07,1148.0552978515625,1,0.79478705,-0.0,109.27151122030033,99.09594370049739
2023-11-08,1154.033203125,0,0.173193,0.005206983744271199,109.84048620293638,99.61193466846908
2023-11-09,1141.50927734375,1,0.7986874,-0.0,109.84048620293638,98.53091509872321
2023-11-10,1143.658203125,0,0.18813898,0.001882530281532624,110.04726424435167,98.71640253006369
2023-11-13,1143.5101318359375,1,0.8136857,-0.0,110.04726424435167,98.7036215567499
2023-11-15,1164.185791015625,1,0.77565765,0.018080870998923526,112.03701463293825,100.48826900524406
2023-11-16,1166.285400390625,0,0.18843818,0.0018035002584666504,112.23907341778659,100.66949962436789
2023-11-17,1163.7412109375,0,0.16808522,-0.0,112.23907341778659,100.44989447531097
2023-11-20,1160.6781005859375,1,0.78329825,-0.0,112.23907341778659,100.18549796800431
2023-11-21,1175.2769775390625,1,0.86255527,0.01257788610447208,113.650803699707,101.44561975076569
2023-11-22,1179.87158203125,1,0.8097682,0.00390938015463238,114.09510789624863,101.84220924339371
2023-11-23,1183.4781494140625,0,0.14750485,0.003056745698208463,114.44386762649712,102.15351497839451
2023-11-24,1182.6876220703125,1,0.8375229,-0.0,114.44386762649712,102.0852795429616
2023-11-28,1182.9346923828125,1,0.86594737,0.00020890580732335629,114.46777561505684,102.10660575070037
2023-11-29,1186.047119140625,0,0.21441057,0.0026311061615269526,114.7689524847739,102.37525907022365
2023-11-30,1174.5606689453125,1,0.9283945,-0.0,114.7689524847739,101.38379060698554
2023-12-01,1182.88525390625,1,0.8340057,0.007087403129556913,115.58236631779046,102.10233840181984
2023-12-04,1195.680908203125,1,0.90556145,0.01081732505720212,116.83265834513061,103.20681258541278
2023-12-05,1204.3514404296875,1,0.8654257,0.007251543590833576,117.67987545995328,103.95522128574687
2023-12-06,1215.8873291015625,0,0.2856065,0.009578506974475154,118.80707296780182,104.95095709786551
2023-12-07,1213.886474609375,0,0.1472321,-0.0,118.80707296780182,104.77825063983883
2023-12-08,1213.2442626953125,1,0.88765484,-0.0,118.80707296780182,104.72281725104753
2023-12-11,1215.022705078125,0,0.22137876,0.0014658568249574788,118.98122712656489,104.87632590744376
2023-12-12,1197.5831298828125,1,0.84158003,-0.0,118.98122712656489,103.37100541900617
2023-12-13,1202.4739990234375,1,0.90166306,0.004083949596971781,119.46714046113564,103.79316739492567
2023-12-14,1217.39404296875,1,0.9453878,0.01240778923904351,120.94946356096862,105.08101114041469
2023-12-15,1232.9317626953125,1,0.8898174,0.012763098206618473,122.4931534424351,106.42217040525057
2023-12-18,1245.4803466796875,1,0.8721284,0.010177841437828183,123.73986933539176,107.50531838110476
2023-12-19,1263.8094482421875,0,0.10807418,0.014716492003557846,125.56088613298735,109.08741953940022
2023-12-20,1248.518798828125,1,0.89657724,-0.0,125.56088613298735,107.76758648230309
2023-12-21,1266.0079345703125,1,0.92314935,0.014007907416855092,127.31973140111651,109.27718485628513
2023-12-22,1267.242919921875,1,0.93269473,0.0009754957436201028,127.44393125717717,109.38378428498723
2023-12-26,1273.66552734375,1,0.9198417,0.005068173844893886,128.08983925626524,109.93816031955592
2023-12-27,1278.01318359375,1,0.91842425,0.003413499193204217,128.52707381922417,110.31343414110908
2023-12-28,1287.251708984375,0,0.12849505,0.0072288185358513335,129.4561727128073,111.11086993858174
2023-12-29,1277.074462890625,1,0.8194072,-0.0,129.4561727128073,110.23240719569847
2024-01-01,1279.69287109375,1,0.83731806,0.002050317565037041,129.72159897762285,110.45841863640813
2024-01-02,1290.2900390625,0,0.20878352,0.008281024461512132,130.79582671194302,111.37312750311617
2024-01-03,1276.2593994140625,1,0.903039,-0.0,130.79582671194302,110.16205389082114
2024-01-04,1282.8546142578125,1,0.9053801,0.00516761314101033,131.47172894484896,110.73132876814805
2024-01-05,1288.3138427734375,0,0.15459289,0.004255531729745909,132.0312110589383,111.20254945119783
2024-01-08,1278.26025390625,0,0.23612142,-0.0,132.0312110589383,110.33476034884784
2024-01-09,1274.8758544921875,1,0.9596407,-0.0,132.0312110589383,110.04263134214966
2024-01-10,1309.26123046875,1,0.8939685,0.026971548527961575,135.59229727522,113.01065151353905
2024-01-11,1343.6961669921875,1,0.87252426,0.026301043460294604,139.15851617873673,115.98294957047284
2024-01-12,1354.3919677734375,1,0.80733585,0.007959984588772118,140.26621582291588,116.90617206161413
2024-01-15,1377.51318359375,0,0.043047465,0.01707128834965177,142.66074083894335,118.90191103473195
2024-01-16,1358.24560546875,0,0.078748636,-0.0,142.66074083894335,117.2388040043537
2024-01-17,1345.35107421875,1,0.84391016,-0.0,142.66074083894335,116.1257951229997
2024-01-18,1351.6500244140625,0,0.20559487,0.004682012239050959,143.32868017358336,116.6694975170351
2024-01-19,1351.156005859375,0,0.20636296,-0.0,143.32868017358336,116.62685563822149
2024-01-23,1312.7442626953125,1,0.87216175,-0.0,143.32868017358336,113.31129414467046
2024-01-24,1327.862060546875,1,0.8772551,0.01151617895516277,144.97927890386964,114.61620728568155
2024-01-25,1336.9522705078125,1,0.7976883,0.006845748689584319,145.9717706124427,115.40084103651265
2024-01-29,1430.7957763671875,0,0.17449793,0.07019211375715795,156.21783774060503,123.50106999821924
2024-01-30,1390.852294921875,1,0.9212061,-0.0,156.21783774060503,120.05329444601904
2024-01-31,1409.6258544921875,1,0.9096657,0.013497881578695692,158.3264476149076,121.67375959758368
2024-02-01,1409.650634765625,1,0.8737094,1.757932671186957e-05,158.32923088725735,121.67589854035592
2024-02-02,1440.3306884765625,0,0.18779777,0.021764296027886765,161.77515513815527,124.32408881564734
2024-02-05,1421.878173828125,0,0.18930808,-0.0,161.77515513815527,122.7313350901464
2024-02-06,1410.7869873046875,1,0.93053156,-0.0,161.77515513815527,121.77398434462474
2024-02-07,1424.9659423828125,1,0.8089244,0.010050386915755327,163.40105804065007,122.99786000356134
2024-02-08,1432.845947265625,1,0.75492984,0.0055299601544409605,164.30465938080835,123.67803326846254
2024-02-09,1443.3443603515625,0,0.21216863,0.007326965683905007,165.50851398179725,124.58421797407343
2024-02-12,1435.04443359375,1,0.7716857,-0.0,165.50851398179725,123.86779858534744
2024-02-13,1447.642333984375,1,0.7956931,0.008778752835601367,166.9614723182311,124.95520337341826
2024-02-14,1463.7235107421875,0,0.13686168,0.011108528937221696,168.8161686648793,126.3432718659483
2024-02-15,1453.076904296875,0,0.18046866,-0.0,168.8161686648793,125.42429565035972
2024-02-16,1443.17138671875,1,0.85338414,-0.0,168.8161686648793,124.56928752132353
2024-02-19,1456.4364013671875,0,0.2991662,0.009191572650700364,170.36785474377544,125.71427517762174
2024-02-20,1453.4969482421875,0,0.12564929,-0.0,170.36785474377544,125.46055231084839
2024-02-21,1450.2115478515625,1,0.8279198,-0.0,170.36785474377544,125.17696853857521
2024-02-22,1464.0941162109375,1,0.7106237,0.009572788452789194,171.99875017639312,126.37526117755644
2024-02-23,1475.82763671875,0,0.1270476,0.008014184592298523,173.3771799099514,127.38805584853333
2024-02-26,1469.6026611328125,0,0.052420042,-0.0,173.3771799099514,126.85073867282286
2024-02-27,1467.94775390625,0,0.27527732,-0.0,173.3771799099514,126.707893120296
2024-02-28,1438.2803955078125,1,0.87603563,-0.0,173.3771799099514,124.14711500874012
2024-02-29,1443.3939208984375,1,0.8073085,0.003555304936781578,173.9935886536105,124.5884958596179
2024-03-01,1474.345458984375,1,0.6743767,0.02144358351368969,177.72463470275076,127.26011967542858
2024-03-04,1489.4384765625,0,0.12337962,0.010237097069856427,179.5440190399076,128.5628938736675
2024-03-05,1482.32421875,1,0.6838886,-0.0,179.5440190399076,127.94881710142695
2024-03-06,1485.0908203125,0,0.13627708,0.0018663943606298528,179.8791189845285,128.1876200521143
2024-03-07,1461.3028564453125,0,0.13957205,-0.0,179.8791189845285,126.1343298207608
2024-03-11,1449.1246337890625,1,0.75623214,-0.0,179.8791189845285,125.08315008318695
2024-03-12,1457.8446044921875,0,0.19219287,0.006017405611499882,180.96152460449767,125.8358261324016
2024-03-13,1415.10986328125,0,0.078293115,-0.0,180.96152460449767,122.14711922340571
2024-03-14,1414.4180908203125,0,0.24954233,-0.0,180.96152460449767,122.08740794906996
2024-03-15,1401.3260498046875,1,0.8824709,-0.0,180.96152460449767,120.95735074552164
2024-03-18,1422.3228759765625,0,0.2083453,0.01498354089314291,183.67296900849465,122.76972015674339
2024-03-19,1408.267333984375,1,0.9206431,-0.0,183.67296900849465,121.55649706501225
2024-03-20,1426.546875,1,0.84725153,0.012980164045918174,186.05707427702575,123.13432033776328
2024-03-21,1433.685791015625,1,0.66651255,0.005004333289521323,186.9881658875812,123.75052551611215
2024-03-22,1437.6876220703125,0,0.073061965,0.002791288774545597,187.51010385599608,124.09594896882939
2024-03-26,1424.3978271484375,1,0.74778295,-0.0,187.51010385599608,122.94882236975893
2024-03-27,1475.061767578125,0,0.19369723,0.03556867292553645,194.17958941028337,127.32194881920876
2024-03-28,1468.1451416015625,0,0.2630039,-0.0,194.17958941028337,126.72493090582644
2024-04-01,1467.0830078125,1,0.7923917,-0.0,194.17958941028337,126.63325139321036
2024-04-02,1469.2320556640625,0,0.1475363,0.0014648440750240077,194.46403223132162,126.81874936121473
2024-04-03,1454.0650634765625,0,0.20874245,-0.0,194.46403223132162,125.50958994465088
2024-04-04,1445.493408203125,0,0.23212357,-0.0,194.46403223132162,124.76971594207784
2024-04-05,1442.7020263671875,1,0.74206257,-0.0,194.46403223132162,124.52877404861826
2024-04-08,1468.2686767578125,0,0.3136749,0.017721365828398783,197.9102004869584,126.73559400969583
2024-04-09,1446.2098388671875,1,0.7696189,-0.0,197.9102004869584,124.8315556225219
2024-04-10,1461.945068359375,0,0.15110469,0.010880322529483566,200.06352730013126,126.18976320955211
2024-04-12,1449.6680908203125,0,0.20044479,-0.0,200.06352730013126,125.13005931088111
2024-04-15,1447.3707275390625,1,0.74624574,-0.0,200.06352730013126,124.93175929623514
2024-04-16,1448.2847900390625,0,0.22150278,0.0006315330845154676,200.18987403662612,125.01065783553744
2024-04-18,1446.876708984375,1,0.79522717,-0.0,200.18987403662612,124.88911741742155
2024-04-19,1452.607666015625,1,0.6925416,0.003960915947892163,200.98280930130431,125.38379271431839
2024-04-22,1462.2166748046875,0,0.16793263,0.006615006249704791,202.31231184091567,126.21320728673528
2024-04-23,1441.936279296875,0,0.12367644,-0.0,202.31231184091567,124.46267755595758
2024-04-24,1432.8953857421875,1,0.8014056,-0.0,202.31231184091567,123.68230061734313
2024-04-25,1442.5784912109375,0,0.2703317,0.0067577197645412035,203.67948174925306,124.51811094474887
2024-04-26,1435.2420654296875,1,0.7739086,-0.0,203.67948174925306,123.8848574442057
2024-04-29,1447.5684814453125,1,0.7823438,0.008588388197732222,205.42876020642856,124.94882869175726
2024-04-30,1449.5198974609375,0,0.12012553,0.0013480647310561977,205.70569147280744,125.11726780090339
2024-05-02,1449.0753173828125,0,0.1861536,-0.0,205.70569147280744,125.07889327097033
2024-05-03,1416.9130859375,0,0.082190745,-0.0,205.70569147280744,122.30276682257417
2024-05-06,1402.610595703125,0,0.17813691,-0.0,205.70569147280744,121.06822805976817
2024-05-07,1384.775634765625,1,0.80131155,-0.0,205.70569147280744,119.52877931695024
2024-05-08,1401.6470947265625,0,0.10575294,0.012183533229044086,208.2119136002699,120.98506217158538
2024-05-09,1377.51318359375,1,0.8240284,-0.0,208.2119136002699,118.90191103473202
2024-05-10,1390.65478515625,0,0.12623884,0.009540091317467692,210.19827426940117,120.03624612382478
2024-05-13,1385.986083984375,1,0.8225988,-0.0,210.19827426940117,119.63326087620788
2024-05-14,1403.1539306640625,0,0.18774997,0.012386738134003483,212.80194524899568,121.11512675079841
2024-05-15,1399.3994140625,1,0.86835,-0.0,212.80194524899568,120.79105057914772
2024-05-16,1408.3660888671875,1,0.8500609,0.006407516477841657,214.1654772196954,121.56502122610942
2024-05-17,1418.5927734375,1,0.8815709,0.007261382286290585,215.72061462231343,122.44775131787323
2024-05-21,1419.0126953125,1,0.8022172,0.00029601298051340486,215.78447072440596,122.48399744169798
2024-05-22,1443.2454833984375,1,0.7441078,0.01707721725534017,219.46946901129522,124.57568327631239
2024-05-23,1468.343017578125,0,0.109433405,0.017389650248958333,223.28596631772623,126.74201083801246
2024-05-24,1462.6119384765625,0,0.12560746,-0.0,223.28596631772623,126.24732500445171
2024-05-27,1448.77880859375,0,0.13474835,-0.0,223.28596631772623,125.05329971435101
