Feature,Importance
MFI_14_lag5,0.0222987760084027
BB_Pct_lag5,0.02075422460485646
Return_1d_lag1,0.02044307777361049
Return_1d_lag5,0.020227147520670417
OBV,0.020193013185105232
MFI_14_lag3,0.019984540615600583
Return_1d_lag3,0.019903954496391787
Return_20d,0.019673437817789113
RSI_14_lag2,0.018770604467966644
Vol_60d,0.018114963887669554
CMF,0.0178290040278677
MFI_14_lag2,0.017803046212873944
Vol_20d_lag1,0.017443779259371538
MACD_Hist,0.017149230186576426
MFI_14_lag1,0.017073713310903203
RSI_14_lag5,0.016732210054248235
MFI_14,0.016516771209481775
Return_1d,0.016505470449784374
Stoch_K,0.01635054559380331
High_Low_Range,0.01625070762945994
Vol_20d_lag3,0.01622675711304937
ATR_14_lag1,0.015654389138505326
RSI_14_lag3,0.015601110881390955
SMA_200,0.015396845739231276
Return_1d_lag2,0.014932559397308219
BB_Width,0.014826983274192707
Log_Return,0.01451591059303335
ADX_lag1,0.014463977537151231
BB_Upper,0.014318582382037997
ATR_14_lag5,0.014162626033670765
DI_Plus,0.014026635714932198
Close_Open_Range,0.013876917271892903
Skew_20d,0.013736385272249508
Stoch_D,0.013673851292453586
ADX_lag2,0.013565180698105604
ADX_lag3,0.013552518736637072
Williams_R,0.013463696549858453
BB_Pct_lag1,0.013362814895075752
ATR_14,0.01296765548296903
ADX,0.01295940232080704
RSI_14,0.01291713111798119
RSI_14_lag1,0.012893341498822986
DI_Minus,0.012849447229545412
Return_5d,0.012504428152842618
Vol_20d_lag5,0.012496882312514656
ADX_lag5,0.012401617362181809
Vol_20d_lag2,0.012346778984590747
ATR_14_lag2,0.012098617076947779
BB_Pct_lag2,0.012014691276567504
MACD,0.011896603673401715
MACD_lag3,0.011746503440260025
Price_SMA50_Ratio,0.011704103848850712
ATR_14_lag3,0.011502362316312404
Return_10d,0.01136331330292975
ROC_10,0.011297694456308566
MACD_lag1,0.011275926605841105
MACD_lag2,0.011159342110219217
BB_Lower,0.01109028897006572
TSI,0.010755472185124968
KC_Upper,0.010682168239483269
BB_Pct,0.010502054372200927
Price_SMA20_Ratio,0.010501768255647925
EMA_12,0.010264306609647817
EMA_26,0.010130518635634014
Vol_20d,0.009877935614222604
KC_Lower,0.009856613637530803
BB_Pct_lag3,0.009752733069100863
MACD_Signal,0.00965019269102819
MACD_lag5,0.009452982453336593
SMA_50,0.009371967107792737
SMA_20,0.008339194756079617
